id,pattern,reward
Prof Ellis18,"['d', 'd', 'w', 'd', 'd', 'a', 'w', 'd', 'w', 'w', 'd', 'a', 'a', 'd', 'd', 'd', 'w', 'd', 'w', 'd', 'd', 'w', 'w', 'a', 'w', 'a', 'w', 'a', 'd', 'a', 'a', 'a', 'd', 'w', 'a', 'w', 'w', 'w', 'a', 'w']",4.5
Prof Ellis19,"['a', 'w', 'a', 'w', 'd', 'a', 'd', 'a', 'a', 'a', 'd', 'a', 'w', 'w', 'a', 'a', 'w', 'a', 'd', 'd', 'w', 'd', 'w', 'd', 'a', 'd', 'd', 'd', 'd', 'a', 'a', 'a', 'd', 'd', 'a', 'w', 'd', 'w', 'a', 'd']",0
Prof Ellis20,"['w', 'w', 'd', 'a', 'w', 'w', 'a', 'a', 'd', 'a', 'a', 'd', 'w', 'd', 'w', 'a', 'd', 'd', 'a', 'a', 'w', 'a', 'd', 'w', 'a', 'd', 'w', 'w', 'w', 'w', 'a', 'a', 'd', 'a', 'd', 'w', 'a', 'a', 'a', 'a']",84.5
Prof Ellis21,"['a', 'w', 'w', 'a', 'w', 'd', 'd', 'a', 'd', 'a', 'd', 'd', 'a', 'w', 'w', 'a', 'a', 'w', 'a', 'd', 'a', 'a', 'd', 'a', 'w', 'a', 'a', 'd', 'd', 'w', 'a', 'd', 'w', 'a', 'd', 'd', 'a', 'd', 'a', 'a']",90
Prof Ellis22,"['d', 'a', 'd', 'w', 'w', 'w', 'd', 'd', 'a', 'a', 'a', 'w', 'a', 'w', 'a', 'a', 'd', 'w', 'w', 'w', 'a', 'd', 'd', 'd', 'd', 'a', 'a', 'a', 'a', 'w', 'd', 'd', 'a', 'a', 'd', 'w', 'a', 'w', 'a', 'w']",0
Prof Ellis23,"['a', 'd', 'w', 'a', 'd', 'd', 'w', 'a', 'w', 'd', 'w', 'd', 'a', 'd', 'w', 'd', 'a', 'd', 'a', 'w', 'w', 'w', 'w', 'w', 'w', 'w', 'w', 'a', 'a', 'a', 'd', 'a', 'd', 'd', 'w', 'd', 'w', 'd', 'd', 'a']",155.0
Prof Ellis24,"['d', 'w', 'w', 'a', 'w', 'w', 'd', 'd', 'd', 'a', 'w', 'a', 'a', 'a', 'w', 'a', 'a', 'a', 'd', 'a', 'a', 'w', 'w', 'd', 'w', 'd', 'w', 'd', 'w', 'w', 'a', 'a', 'w', 'a', 'w', 'w', 'd', 'w', 'w', 'w']",67.5
Prof Ellis25,"['a', 'a', 'a', 'a', 'd', 'a', 'd', 'a', 'a', 'd', 'w', 'w', 'd', 'd', 'd', 'd', 'd', 'd', 'd', 'a', 'd', 'a', 'd', 'd', 'd', 'w', 'w', 'd', 'w', 'w', 'w', 'a', 'a', 'a', 'w', 'd', 'a', 'a', 'd', 'a']",-0.5
Prof Ellis26,"['d', 'd', 'd', 'w', 'a', 'd', 'w', 'a', 'w', 'w', 'a', 'd', 'd', 'd', 'd', 'w', 'a', 'd', 'd', 'w', 'w', 'd', 'd', 'd', 'a', 'd', 'w', 'd', 'w', 'w', 'd', 'w', 'w', 'a', 'd', 'd', 'd', 'w', 'w', 'w']",35.0
Prof Ellis27,"['a', 'd', 'w', 'd', 'w', 'a', 'w', 'd', 'd', 'w', 'd', 'a', 'd', 'd', 'd', 'd', 'a', 'd', 'a', 'd', 'w', 'd', 'a', 'a', 'a', 'w', 'd', 'd', 'd', 'a', 'a', 'd', 'd', 'a', 'w', 'w', 'w', 'd', 'a', 'a']",-0.5
